sampled_medoids	sampled_rap	sampled_nonrap	rap_fraction	multi_families	pure_rap_families	mixed_families	pure_nonrap_families	medoids_in_multi	within_family_pairs	rap_rap_pairs	rap_nonrap_pairs	nonrap_nonrap_pairs	expected_rap_rap_pairs_random	rap_rap_enrichment	rap_neighbor_homophily	homophily_lift_over_pool	target_rap_size	replicate	seed	alpha	threshold
655	100	555	0.15267175572519084	130	9	3	118	307	238	14	5	219	5.500385181035087	2.5452762923351155	0.8484848484848485	5.557575757575758	100	13	20260905	0.1	0.8
655	100	555	0.15267175572519084	136	12	8	116	319	243	15	12	216	5.615939491561034	2.6709689487467267	0.7142857142857143	4.678571428571429	100	14	20260905	0.1	0.8
655	100	555	0.15267175572519084	131	8	5	118	306	231	8	9	214	5.338609146298761	1.4985176439721895	0.64	4.192	100	15	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	10	8	114	312	245	10	14	221	5.6621612157714125	1.7661100803957948	0.5882352941176471	3.8529411764705883	100	16	20260905	0.1	0.8
655	100	555	0.15267175572519084	131	10	7	114	308	238	10	9	219	5.500385181035087	1.8180544945250825	0.6896551724137931	4.517241379310345	100	17	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	11	5	118	312	235	14	6	215	5.431052594719518	2.5777691811734362	0.8235294117647058	5.394117647058823	100	18	20260905	0.1	0.8
655	100	555	0.15267175572519084	129	10	3	116	306	241	13	8	220	5.569717767350655	2.33405004400855	0.7647058823529411	5.008823529411764	100	19	20260905	0.1	0.8
655	100	555	0.15267175572519084	140	17	5	118	326	244	21	7	216	5.6390503536662235	3.7240312965722797	0.8571428571428571	5.614285714285714	100	20	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	10	6	116	310	239	11	9	219	5.523496043140276	1.9914923291492328	0.7096774193548387	4.648387096774194	100	21	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	12	6	119	318	241	13	11	217	5.569717767350655	2.33405004400855	0.7027027027027027	4.602702702702703	100	22	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	14	6	117	322	245	20	12	213	5.6621612157714125	3.5322201607915895	0.7692307692307693	5.038461538461538	100	23	20260905	0.1	0.8
655	100	555	0.15267175572519084	129	6	4	119	303	233	8	5	220	5.3848308705091394	1.4856548315775784	0.7619047619047619	4.99047619047619	100	24	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	10	8	117	316	241	13	12	216	5.569717767350655	2.33405004400855	0.6842105263157895	4.481578947368421	100	25	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	12	6	117	315	239	14	8	217	5.523496043140276	2.5346266007353875	0.7777777777777778	5.094444444444444	100	26	20260905	0.1	0.8
655	100	555	0.15267175572519084	138	14	5	119	319	237	14	7	216	5.477274318929897	2.556015854750032	0.8	5.24	100	27	20260905	0.1	0.8
655	100	555	0.15267175572519084	131	9	5	117	307	236	9	7	220	5.454163456824708	1.6501155624036978	0.72	4.715999999999999	100	28	20260905	0.1	0.8
655	100	555	0.15267175572519084	137	15	6	116	321	248	17	8	223	5.731493802086981	2.966067937438905	0.8095238095238095	5.302380952380952	100	29	20260905	0.1	0.8
655	100	555	0.15267175572519084	136	12	8	116	319	242	14	12	216	5.592828629455845	2.5032056098171798	0.7	4.585	100	30	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	11	4	117	312	249	13	16	220	5.75460466419217	2.2590604843616893	0.6190476190476191	4.054761904761905	100	31	20260905	0.1	0.8
655	100	555	0.15267175572519084	134	12	5	117	313	237	12	10	215	5.477274318929897	2.1908707326428845	0.7058823529411765	4.623529411764706	100	32	20260905	0.1	0.8
655	100	555	0.15267175572519084	132	13	3	116	311	242	13	8	221	5.592828629455845	2.3244052091159526	0.7647058823529411	5.008823529411764	100	33	20260905	0.1	0.8
655	100	555	0.15267175572519084	138	15	3	120	323	249	25	4	220	5.75460466419217	4.3443470853109405	0.9259259259259259	6.064814814814815	100	34	20260905	0.1	0.8
655	100	555	0.15267175572519084	135	9	10	116	315	236	10	14	212	5.454163456824708	1.8334617360041088	0.5882352941176471	3.8529411764705883	100	35	20260905	0.1	0.8
